"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_PTT_LOCK","ЗАБЛОКОВАНО","LOCKED","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО","ЗАБЛОКОВАНО",
"STR_OZR_RADIO_50","Рація (50 м)","Radio (50 m)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)","Рація (50 м)",
"STR_OZR_RADIO_250","Рація (250 м)","Radio (250 m)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)","Рація (250 м)",
"STR_OZR_RADIO_750","Рація (750 м)","Radio (750 m)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)","Рація (750 м)",
"STR_OZR_RADIO_2000","Рація (2 км)","Radio (2 km)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)","Рація (2 км)",
"STR_OZR_RADIO_10000","Рація (10 км)","Radio (10 km)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)","Рація (10 км)",
"oz_input_radio_ptt","Рація: натиснути й говорити","Radio: push to talk","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити","Рація: натиснути й говорити",
"oz_input_group","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone","OpenZone",
"STR_OZR_TOAST_TITLE","Рація","Radio","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація","Рація",
"STR_OZR_NOT_INIT","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Radio not initialised: the server sent no frequency grid","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.","Рацію не ініціалізовано: сервер не надіслав сітку частот.",
"STR_OZR_ERR_NO_RADIO_HANDS","У руках немає нічого, що вміє передавати.","Nothing in hands that can transmit","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.","У руках немає нічого, що вміє передавати.",
"STR_OZR_ERR_SWITCHED_OFF","Рацію вимкнено.","The radio is switched off","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.","Рацію вимкнено.",
"STR_OZR_ERR_NO_OVERLAP","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","This set's band lies outside the running ether - the server needs a restart","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.","Діапазон цієї рації лежить поза чинним ефіром - серверу потрібен перезапуск.",
"STR_OZR_ERR_OFF_STEP_SET","Між каналами цієї рації","Between this set's channels","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації","Між каналами цієї рації",
