"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_NO_RECORDS","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records","this device keeps no records",
"STR_OZR_MEMORY_FULL","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full","memory full",
"STR_OZR_TO_CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP","TO CHIP",
"STR_OZR_CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP","CHIP",
"STR_OZR_TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE","TAKE",
"STR_OZR_ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL",
"STR_OZR_BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK","BOOK",
"STR_OZR_ON_CHIP","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip","on the chip",
"STR_OZR_ERR_CHIP_EMPTY","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies","The chip holds no frequencies",
"STR_OZR_ERR_BOOK_EMPTY","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write","The book is empty - nothing to write",
"STR_OZR_CHIP_WROTE","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip","Written to the chip",
"STR_OZR_CHIP_TOOK","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip","Taken from the chip",
"STR_OZR_CHIP_PART","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit","the rest did not fit",
"STR_OZ_ERR_OFF","Пристрій вимкнено","The device is switched off","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено","Пристрій вимкнено",
"STR_OZ_ERR_PDA_FULL","Пам'ять пристрою заповнена","The device memory is full","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена","Пам'ять пристрою заповнена",
"STR_OZR_BOOK_TITLE","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","SAVED IN THIS DEVICE","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ","ЗБЕРЕЖЕНО В ЦЬОМУ ПРИСТРОЇ",
"STR_OZR_BOOK_HINT","виберіть рядок, тоді TUNE або FORGET","pick a row, then TUNE or FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET","виберіть рядок, тоді TUNE або FORGET",
